Zipcode,Rural Percent,Urban Percent
04760,100,0
04761,100,0
04762,100,0
04763,100,0
04764,100,0
04765,100,0
04766,100,0
04768,100,0
04769,37.26,62.74
04772,100,0
04773,100,0
04774,100,0
04776,100,0
04777,100,0
04779,100,0
04780,100,0
04781,100,0
04783,100,0
04785,100,0
04786,100,0
04787,100,0
04841,8.76,91.24
04843,30.72,69.28
04847,100,0
04848,100,0
04849,100,0
04851,100,0
04852,100,0
04853,100,0
04854,94.18,5.82
04855,100,0
04856,77.66,22.34
04858,100,0
04859,100,0
04860,100,0
04861,32.11,67.89
04862,100,0
04863,100,0
04864,100,0
04901,22.07,77.93
04910,100,0
04911,100,0
04912,100,0
04915,61.87,38.13
04917,100,0
04918,100,0
04920,100,0
04921,100,0
04922,100,0
04923,100,0
04924,100,0
04925,100,0
04926,100,0
04927,100,0
04928,100,0
04929,99.64,0.36
04930,100,0
04932,100,0
04933,100,0
04936,100,0
04937,56.73,43.27
04938,62.35,37.65
04939,100,0
04940,100,0
04941,100,0
04942,100,0
04943,100,0
04944,100,0
04945,100,0
04947,100,0
04949,100,0
04950,99.96,0.04
04951,100,0
04952,100,0
04953,100,0
04955,100,0
04956,100,0
04957,100,0
04958,100,0
04961,100,0
04962,100,0
04963,68.06,31.94
04964,100,0
04965,100,0
04966,100,0
04967,40.43,59.57
04969,100,0
04970,100,0
04971,100,0
04973,100,0
04974,100,0
04975,0,100
04976,52.04,47.96
04978,100,0
04979,100,0
04981,100,0
04982,100,0
04983,100,0
04984,100,0
04985,100,0
04986,100,0
04987,100,0
04988,100,0
04989,100,0
04992,0,100
05001,40.44,59.56
05031,100,0
05032,100,0
05033,100,0
05034,100,0
05035,100,0
05036,100,0
05037,100,0
05038,100,0
05039,100,0
05040,100,0
05041,100,0
05042,100,0
05043,100,0
05045,100,0
05046,100,0
05048,100,0
05050,100,0
05051,100,0
05052,100,0
05053,100,0
05055,74.64,25.36
05056,100,0
05058,100,0
05059,100,0
05060,100,0
05061,100,0
05062,100,0
05065,100,0
05067,100,0
05068,100,0
05069,100,0
05070,100,0
05071,100,0
05072,100,0
05075,100,0
05076,100,0
05077,100,0
05079,100,0
05081,100,0
05083,100,0
05084,100,0
05086,100,0
05089,46.27,53.73
05091,100,0
05101,24.32,75.68
05141,100,0
05142,100,0
05143,100,0
05146,100,0
05148,100,0
05149,100,0
05150,32.85,67.15
05151,100,0
05152,100,0
05153,100,0
05154,43.57,56.43
05155,100,0
05156,53.24,46.76
05158,73.59,26.41
05161,100,0
05201,30.68,69.32
05250,100,0
05251,100,0
05252,100,0
05253,100,0
05254,100,0
05255,100,0
05257,29.43,70.57
05260,100,0
05261,83.49,16.51
05262,79.98,20.02
05301,40.77,59.23
05340,100,0
05341,100,0
05342,100,0
05343,100,0
05345,100,0
05346,100,0
05350,100,0
05352,100,0
05353,100,0
05354,99.64,0.36
05355,100,0
05356,100,0
05358,100,0
05359,100,0
05360,100,0
05361,100,0
05362,100,0
05363,100,0
05401,0,100
05403,8.81,91.19
05404,0,100
05405,0,100
05408,0,100
05439,0,100
05440,100,0
05441,100,0
05442,100,0
05443,100,0
05444,100,0
05445,100,0
05446,25.7,74.3
05447,100,0
05448,100,0
05450,100,0
05452,13.44,86.56
05454,96.9,3.1
05455,100,0
05456,100,0
05457,100,0
05458,100,0
05459,98.98,1.02
05461,100,0
05462,100,0
05463,100,0
05464,100,0
05465,61.05,38.95
05468,35.23,64.77
05471,100,0
05472,100,0
05473,100,0
05474,100,0
05476,100,0
05477,100,0
05478,37.34,62.66
05481,0,100
05482,28.37,71.63
05483,100,0
05485,100,0
05486,100,0
05487,100,0
05488,60.56,39.44
05489,96.03,3.97
05491,56.13,43.87
05492,100,0
05494,100,0
05495,44.68,55.32
05602,41.44,58.56
05640,100,0
05641,24.89,75.11
05647,100,0
05648,100,0
05649,60.63,39.37
05650,100,0
05651,100,0
05652,100,0
05653,100,0
05654,28.35,71.65
05655,100,0
05656,100,0
05657,100,0
05658,100,0
05660,100,0
05661,100,0
05663,38.43,61.57
05664,0,100
05667,100,0
05669,100,0
05672,100,0
05673,100,0
05674,100,0
05675,100,0
05676,56.34,43.66
05677,64.38,35.62
05678,0,100
05679,78.25,21.75
05680,100,0
05681,100,0
05682,100,0
05701,14.86,85.14
05730,100,0
05732,100,0
05733,100,0
05734,100,0
05735,49.84,50.16
05736,79.68,20.32
05737,100,0
05738,100,0
05739,100,0
05740,100,0
05742,100,0
05743,54.43,45.57
05744,100,0
05747,100,0
05748,100,0
05751,100,0
05753,49,51
05757,100,0
05758,100,0
05759,68.36,31.64
05760,100,0
05761,100,0
05762,100,0
05763,100,0
05764,100,0
05765,100,0
05766,100,0
05767,100,0
05769,100,0
05770,100,0
05772,100,0
05773,100,0
05774,100,0
05775,98.23,1.77
